,venue,inning,Date,bat_team,bowl_team,batsmen,bowlers,run,batsman1,batsman2,bowler1,bowler2
0,15,1,2008,7,13,"['SC Ganguly', 'BB McCullum', 'RT Ponting', 'DJ Hussey', 'Mohammad Hafeez']","['P Kumar', 'Z Khan', 'AA Noffke', 'JH Kallis', 'SB Joshi', 'CL White']",71.0,116,14,124,219
1,15,2,2008,13,7,"['R Dravid', 'W Jaffer', 'V Kohli', 'JH Kallis', 'CL White', 'MV Boucher', 'B Akhil', 'AA Noffke', 'P Kumar', 'Z Khan', 'SB Joshi']","['AB Dinda', 'I Sharma', 'AB Agarkar', 'SC Ganguly', 'LR Shukla']",33.0,93,145,11,77
2,27,1,2008,0,5,"['PA Patel', 'ML Hayden', 'MEK Hussey', 'MS Dhoni', 'SK Raina', 'JDP Oram', 'S Badrinath']","['B Lee', 'S Sreesanth', 'JR Hopes', 'IK Pathan', 'K Goel', 'PP Chawla', 'WA Mota']",56.0,87,82,28,178
3,27,2,2008,5,0,"['K Goel', 'JR Hopes', 'KC Sangakkara', 'Yuvraj Singh', 'SM Katich', 'IK Pathan']","['JDP Oram', 'MS Gony', 'M Muralitharan', 'P Amarnath', 'Joginder Sharma']",65.0,53,57,75,133
4,9,1,2008,10,3,"['T Kohli', 'YK Pathan', 'SR Watson', 'M Kaif', 'DS Lehmann', 'RA Jadeja', 'M Rawat', 'D Salunkhe', 'SK Warne', 'SK Trivedi']","['GD McGrath', 'B Geeves', 'MF Maharoof', 'R Bhatia', 'DL Vettori']",42.0,129,149,57,31
5,9,2,2008,3,10,"['G Gambhir', 'V Sehwag', 'S Dhawan']","['MM Patel', 'SR Watson', 'SK Trivedi', 'SK Warne', 'YK Pathan', 'D Salunkhe']",57.0,37,142,110,191
6,8,1,2008,1,7,"['AC Gilchrist', 'Y Venugopal Rao', 'VVS Laxman', 'A Symonds', 'RG Sharma', 'SB Styris', 'AS Yadav', 'SB Bangar', 'WPUJC Vaas', 'RP Singh']","['AB Dinda', 'I Sharma', 'AB Agarkar', 'M Kartik', 'Mohammad Hafeez', 'DJ Hussey']",43.0,6,148,11,77
7,8,2,2008,7,1,"['WP Saha', 'BB McCullum', 'RT Ponting', 'SC Ganguly', 'DJ Hussey', 'Mohammad Hafeez', 'LR Shukla']","['WPUJC Vaas', 'RP Singh', 'SB Styris', 'SB Bangar', 'A Symonds', 'PP Ojha']",31.0,138,14,189,169
8,40,1,2008,8,13,"['L Ronchi', 'ST Jayasuriya', 'DJ Thornely', 'RV Uthappa', 'PR Shah', 'AM Nayar', 'SM Pollock', 'Harbhajan Singh']","['P Kumar', 'Z Khan', 'JH Kallis', 'R Vinay Kumar', 'B Akhil', 'SB Joshi']",53.0,59,131,124,219
9,40,2,2008,13,8,"['S Chanderpaul', 'R Dravid', 'LRPL Taylor', 'JH Kallis', 'V Kohli', 'MV Boucher', 'B Akhil']","['A Nehra', 'SM Pollock', 'DS Kulkarni', 'ST Jayasuriya', 'Harbhajan Singh', 'AM Nayar']",41.0,109,98,4,187
10,32,1,2008,5,10,"['K Goel', 'JR Hopes', 'KC Sangakkara', 'DPMD Jayawardene', 'Yuvraj Singh', 'IK Pathan', 'S Sohal', 'B Lee', 'PP Chawla', 'WA Mota']","['MM Patel', 'SR Watson', 'SK Trivedi', 'SK Warne', 'D Salunkhe', 'Pankaj Singh', 'YK Pathan']",54.0,53,57,110,191
11,32,2,2008,10,5,"['M Kaif', 'YK Pathan', 'Kamran Akmal', 'SR Watson', 'DS Lehmann', 'RA Jadeja']","['B Lee', 'S Sreesanth', 'JR Hopes', 'IK Pathan', 'PP Chawla', 'WA Mota']",61.0,62,149,28,178
12,29,1,2008,1,3,"['AC Gilchrist', 'Y Venugopal Rao', 'VVS Laxman', 'A Symonds', 'RG Sharma', 'Shahid Afridi', 'SB Bangar', 'AS Yadav', 'WPUJC Vaas', 'RP Singh']","['GD McGrath', 'Mohammad Asif', 'MF Maharoof', 'VY Mahesh', 'R Bhatia']",26.0,6,148,57,135
13,29,2,2008,3,1,"['G Gambhir', 'V Sehwag', 'S Dhawan']","['WPUJC Vaas', 'RP Singh', 'SB Bangar', 'Shahid Afridi', 'A Symonds', 'PP Ojha']",49.0,37,142,189,169
14,18,1,2008,0,8,"['PA Patel', 'ML Hayden', 'MEK Hussey', 'SK Raina', 'MS Dhoni', 'JDP Oram', 'S Badrinath']","['SM Pollock', 'A Nehra', 'DS Kulkarni', 'Harbhajan Singh', 'DJ Bravo', 'VS Yeligati', 'AM Nayar', 'MA Khote']",60.0,87,82,163,5
15,18,2,2008,8,0,"['L Ronchi', 'ST Jayasuriya', 'RV Uthappa', 'SM Pollock', 'DJ Bravo', 'AM Nayar', 'MA Khote', 'Harbhajan Singh', 'A Nehra']","['JDP Oram', 'MS Gony', 'Joginder Sharma', 'P Amarnath', 'M Muralitharan']",59.0,59,131,75,133
16,29,1,2008,1,10,"['AC Gilchrist', 'VVS Laxman', 'Shahid Afridi', 'A Symonds', 'RG Sharma', 'AS Yadav']","['MM Patel', 'SR Watson', 'YK Pathan', 'Pankaj Singh', 'SK Trivedi', 'SK Warne', 'D Salunkhe']",59.0,6,143,110,191
17,29,2,2008,10,1,"['Kamran Akmal', 'GC Smith', 'YK Pathan', 'SR Watson', 'M Kaif', 'RA Jadeja', 'SK Warne', 'D Salunkhe', 'Pankaj Singh']","['WPUJC Vaas', 'RP Singh', 'PP Ojha', 'D Kalyankrishna', 'Shahid Afridi', 'A Symonds']",76.0,58,37,189,169
18,27,1,2008,5,8,"['K Goel', 'IK Pathan', 'KC Sangakkara', 'Yuvraj Singh', 'RR Sarwan', 'DPMD Jayawardene', 'S Sohal', 'B Lee', 'PP Chawla', 'S Sreesanth', 'VRV Singh']","['SM Pollock', 'A Nehra', 'DS Kulkarni', 'Harbhajan Singh', 'DJ Bravo', 'MA Khote']",62.0,53,45,163,5
